condition,availability,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,worst_case_improvement,worst_20pct_mean_improvement,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct,worst_case_relative_improvement_pct,worst_20pct_mean_relative_improvement_pct
adverse_bias_s1.0,1.0,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,1.0,temporal_rci_hi_pct,higher,12,5.727034064761938e-07,-2.775359545144814e-07,2.166369696047591e-06,-1.3423859570593777e-06,-4.824574659778591e-07,0.12939453125,,,,,
none_s0.0,0.5,common_cost,lower,12,-1.5597049852621296,-2.271554814004762,-0.8855815560436189,-3.824341539750492,-3.3468891920127057,0.00048828125,-0.6439515524223602,-1.1581858617149297,-0.3412847376169124,-2.6786413416577846,-1.535197439490197
none_s0.0,0.5,e_grid_mwh,lower,12,-8.815716009076132,-19.66036612231459,-3.798761108226469,-49.35900932836489,-23.46968957802134,0.00048828125,-0.8257980693721267,-1.8131199079420852,-0.3247968936251943,-4.690450202498698,-2.2868610764474497
none_s0.0,0.5,co2_kg,lower,12,-1528.0664509863593,-2910.0755184522004,-10.726824453482704,-5508.231900216488,-3891.3651504102745,0.00048828125,-0.9323335740898322,-2.1802744780866856,-0.3536212704369095,-5.649727933208529,-2.604660762212037
none_s0.0,0.5,e_total_mwh,lower,12,-7.319847913264709,-12.14033136214662,-3.194879161961296,-18.68726984830232,-14.389383568191002,0.00048828125,-0.38517619874608705,-0.6208794694588363,-0.17582159934618452,-0.9270268591872151,-0.7348279594255082
none_s0.0,0.5,e_cooling_mwh,lower,12,-5.877130832592608,-9.72002055507682,-2.4694421633894543,-14.826883282808922,-13.252215992772221,0.00048828125,-1.0739236173070965,-1.6290129034151137,-0.5803451227130938,-2.2714571215391195,-2.0922820327136455
none_s0.0,0.5,e_pump_mwh,lower,12,-1.4427170806716285,-3.4387325309214485,0.5261560414461399,-4.225310248358916,-3.7127683801911076,0.05224609375,-7.311726983229792,-13.547138873462217,-1.3691514780295284,-30.81419669066453,-19.164265792020963
none_s0.0,0.5,recommended_exceedance_degc_h,lower,12,0.15277360121953087,-0.5350821718659938,1.1461744774913039,-1.6052486128531314,-0.5350829064724181,0.49609375,,,,,
none_s0.0,0.5,recommended_exceedance_hours,lower,12,0.0,-2.3333333333333335,2.3333333333333335,-7.0,-2.3333333333333335,1.0,,,,,
none_s0.0,0.5,recommended_compliance_pct,higher,12,0.0,-1.3888888888888857,1.3888888888888857,-4.166666666666657,-1.3888888888888857,1.0,,,,,
none_s0.0,0.5,p95_t_inlet_c,lower,12,0.1697733818434101,0.09552882195550795,0.22148299235767427,-0.07802938178253527,0.025452738771042743,0.00244140625,,,,,
none_s0.0,0.5,p99_t_inlet_c,lower,12,0.14088727752177674,-0.011356581752067996,0.3289632152249887,-0.2868911900174602,-0.0802017328364677,0.02685546875,,,,,
none_s0.0,0.5,max_t_inlet_c,lower,12,0.059452073697083385,-0.07803411722520634,0.2552213139165689,-0.3225250802908981,-0.10750839581708149,0.12939453125,,,,,
none_s0.0,0.5,min_allowable_headroom_c,higher,12,0.059452073697083385,-0.07803343131585497,0.2625154360095664,-0.32252508029090166,-0.10750839581708356,0.12939453125,,,,,
none_s0.0,0.5,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,0.5,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,0.5,temporal_rci_hi_pct,higher,12,0.0181873334785152,-0.06370025773392385,0.1364493425087344,-0.19110102533966256,-0.06370034600862103,0.49609375,,,,,
none_s0.0,0.75,common_cost,lower,12,-1.262906697117721,-2.7382049124444996,-0.3663933365504543,-6.220880472693636,-3.3081050870530553,0.00048828125,-0.42685962039430414,-0.8120182807243445,-0.1891119795175935,-1.4700416736355058,-0.9905136890249763
none_s0.0,0.75,e_grid_mwh,lower,12,-4.720987136471251,-9.605463482805513,-2.0158851092455734,-21.20700428682585,-11.387993035063346,0.0009765625,-0.4353603177929607,-0.8552182174376369,-0.16930152294052445,-1.5483862392697616,-1.0801896985810486
none_s0.0,0.75,co2_kg,lower,12,-1633.900067248048,-4197.67837281773,-5.492896093357483,-10012.48111979547,-5213.0166334264795,0.0068359375,-0.4646103597250064,-0.8859681608522874,-0.19083576614519715,-1.6209694527954277,-1.1063131355541336
none_s0.0,0.75,e_total_mwh,lower,12,-5.352880484652398,-9.64029730052554,-1.4962702013808855,-13.210322429727512,-12.610927574318112,0.00341796875,-0.2897649548099137,-0.5185334262725151,-0.08036019448216276,-0.6904639176084706,-0.6700847587647708
none_s0.0,0.75,e_cooling_mwh,lower,12,-3.835254432538008,-7.43244311292242,-0.6169364371993519,-10.737809965948827,-10.262385589462932,0.02099609375,-0.7709251202303914,-1.434905301016626,-0.12357763911682046,-1.9968751298816503,-1.9444104941428269
none_s0.0,0.75,e_pump_mwh,lower,12,-1.517626052114413,-2.4284163662542326,-0.5104379254847973,-3.5969313943740318,-3.0924618104494157,0.0009765625,-7.296503833786259,-11.430154057003177,-3.4296520161355564,-16.89302600109398,-13.033437586038843
none_s0.0,0.75,recommended_exceedance_degc_h,lower,12,-1.848902246119147e-08,-2.042619963541862e-07,9.541256511536031e-08,-6.63214500207232e-07,-2.4164420272162107e-07,0.431640625,,,,,
none_s0.0,0.75,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,0.75,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,0.75,p95_t_inlet_c,lower,12,0.14624760574432263,0.10802614423606638,0.16650931072045516,0.0011365870537325407,0.09594917889315606,0.00048828125,,,,,
none_s0.0,0.75,p99_t_inlet_c,lower,12,0.11190614144890117,0.07974442422644766,0.12749582662717265,-1.3194862056309375e-06,0.07331484827971362,0.0009765625,,,,,
none_s0.0,0.75,max_t_inlet_c,lower,12,0.011770073712201068,-1.4431793922871824e-07,0.030325301228296315,-6.634322566867468e-07,-2.3779583102623292e-07,0.0771484375,,,,,
none_s0.0,0.75,min_allowable_headroom_c,higher,12,0.011770073712201365,-1.4431793922871824e-07,0.03178822889572105,-6.634322602394604e-07,-2.3779583221047082e-07,0.0771484375,,,,,
none_s0.0,0.75,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,0.75,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,0.75,temporal_rci_hi_pct,higher,12,-2.2010707330840282e-09,-2.4357593482922843e-08,1.1288619639060467e-08,-7.895411613390024e-08,-2.8767156360724282e-08,0.431640625,,,,,
none_s0.0,1.0,common_cost,lower,12,-0.8171906603160343,-1.4588955331798275,-0.30222708601848564,-2.2608352187469336,-1.849725819493339,0.00048828125,-0.30715684523856795,-0.555243384732403,-0.1546642824251763,-1.0690890368459245,-0.6850994574321385
