country,mode,column,horizon,n_forecasts,mae,rmse,bias,coverage,mean_interval_width,adaptive_beta_floor
JPN,static,carbon_kg_per_mwh,6,8736,28.114941883441386,41.075151790106545,-4.155045924542589,0.9127747252747253,43.909213413468294,0.1
JPN,static,carbon_kg_per_mwh,7,8736,28.132287850284126,41.69142756542356,-4.227844410476246,0.9033882783882784,39.2863255033565,0.1
JPN,static,carbon_kg_per_mwh,8,8736,29.655958428304622,42.94377486538949,-3.9910811846411356,0.9164377289377289,45.71214947201951,0.1
JPN,static,carbon_kg_per_mwh,9,8736,31.425884840450806,44.085855020303775,-3.527475584781371,0.9323489010989011,56.99331394652914,0.1
JPN,static,carbon_kg_per_mwh,10,8736,31.631194777205216,44.006245771681144,-2.935958824129946,0.9371565934065934,59.98150472097381,0.1
JPN,static,carbon_kg_per_mwh,11,8736,29.562795157153236,42.21992479334613,-2.3662180008718714,0.9300595238095238,50.97357950888944,0.1
JPN,static,carbon_kg_per_mwh,12,8736,25.103590749858554,39.69011747818962,-1.9718058708099473,0.9060210622710623,34.24783389433805,0.1
JPN,static,carbon_kg_per_mwh,13,8736,22.31533200705619,38.772251869004414,-1.886930874629033,0.8740842490842491,21.729115806064218,0.1
JPN,static,carbon_kg_per_mwh,14,8736,25.85099357109078,40.56999937280296,-2.1322594785610707,0.896978021978022,35.8772703092533,0.1
JPN,static,carbon_kg_per_mwh,15,8736,29.731796009185693,42.740688806776404,-2.5568962285615475,0.9128891941391941,47.089198751299215,0.1
JPN,static,carbon_kg_per_mwh,16,8736,30.2587401069388,42.84230400071909,-2.939412347268745,0.8946886446886447,41.01354886981927,0.1
JPN,static,carbon_kg_per_mwh,17,8736,27.27950392147742,40.74774477807459,-3.1242034021293517,0.8780906593406593,30.811227714155887,0.1
JPN,static,carbon_kg_per_mwh,18,8736,22.874326340701185,38.50480843600477,-3.105073255946517,0.8585164835164835,20.641385906513406,0.1
JPN,static,carbon_kg_per_mwh,19,8736,21.89737414470816,38.36140065894959,-2.99510856928339,0.854739010989011,17.84540334352699,0.1
JPN,static,carbon_kg_per_mwh,20,8736,23.60848002033195,39.442929008782734,-2.917719958415456,0.8668727106227107,24.137670988187466,0.1
JPN,static,carbon_kg_per_mwh,21,8736,23.163166010395084,39.451549757455425,-2.831199054083593,0.8582875457875457,20.719735043093763,0.1
JPN,static,carbon_kg_per_mwh,22,8736,22.132025466750026,38.89452816752264,-2.6670934347824367,0.8295558608058609,14.876882177381248,0.1
JPN,static,carbon_kg_per_mwh,23,8736,21.90574612262374,38.41350783824733,-2.452822190039604,0.8515338827838828,17.49008248655222,0.1
JPN,static,carbon_kg_per_mwh,24,8736,21.216183552997524,37.59033121274316,-2.2887186018676653,0.854739010989011,16.743044857142724,0.1
JPN,adaptive,fixed_load_mw,1,8736,0.253216344601667,0.3373953197577582,-0.00026194771063445954,0.9004120879120879,0.40505509925567595,0.1
JPN,adaptive,fixed_load_mw,2,8736,0.31064541822383723,0.4123169935798005,-0.0004219583154558438,0.9019001831501832,0.5137076205496964,0.1
JPN,adaptive,fixed_load_mw,3,8736,0.36142902281284406,0.4699637061840449,-0.000651725725925734,0.90121336996337,0.6134754060840526,0.1
JPN,adaptive,fixed_load_mw,4,8736,0.3919888161325487,0.5034613551386256,-0.0008270838019992821,0.8985805860805861,0.6480955588374255,0.1
JPN,adaptive,fixed_load_mw,5,8736,0.42002454076843043,0.5355620356998836,-0.0010049982685795286,0.9010989010989011,0.6605831270614054,0.1
JPN,adaptive,fixed_load_mw,6,8736,0.4398358430796138,0.5572170399685,-0.0011216923357655678,0.9017857142857143,0.7074841346132705,0.1
JPN,adaptive,fixed_load_mw,7,8736,0.45531244712293234,0.5743932382153887,-0.0012668687764326727,0.8945741758241759,0.711865620320202,0.1
JPN,adaptive,fixed_load_mw,8,8736,0.46048286626068874,0.5795986107871097,-0.0013405686417248285,0.896978021978022,0.7442533746921197,0.1
JPN,adaptive,fixed_load_mw,9,8736,0.4694331829861069,0.5852242440085954,-0.0013890393509641162,0.8957188644688645,0.7480744128354511,0.1
JPN,adaptive,fixed_load_mw,10,8736,0.4702037032245736,0.5869244519780825,-0.001341482628055254,0.9002976190476191,0.7782330369534063,0.1
JPN,adaptive,fixed_load_mw,11,8736,0.4829224621974327,0.6015873110508801,-0.0014605932479859524,0.8985805860805861,0.7688110596503727,0.1
JPN,adaptive,fixed_load_mw,12,8736,0.4917533846693931,0.6096611494689106,-0.001491105981625885,0.8950320512820513,0.7864698028442656,0.1
JPN,adaptive,fixed_load_mw,13,8736,0.5106776597960399,0.6345423578649978,-0.0016969712702860254,0.894459706959707,0.8245191528915279,0.1
JPN,adaptive,fixed_load_mw,14,8736,0.5250632661175095,0.6557547321743081,-0.0017590198628710987,0.8968635531135531,0.8459529721067336,0.1
JPN,adaptive,fixed_load_mw,15,8736,0.5349336086590213,0.6742696483833936,-0.0017962076678503854,0.892742673992674,0.888490041588187,0.1
JPN,adaptive,fixed_load_mw,16,8736,0.5414763211090483,0.6850414028020518,-0.0018252103813784551,0.8948031135531136,0.9073939253788985,0.1
JPN,adaptive,fixed_load_mw,17,8736,0.5594506548442432,0.7065588135076787,-0.0019794259299648655,0.8912545787545788,0.9591531376545692,0.1
JPN,adaptive,fixed_load_mw,18,8736,0.5793382971364494,0.7271121400039585,-0.0021277078314656927,0.8917124542124543,0.9824416834547105,0.1
JPN,adaptive,fixed_load_mw,19,8736,0.5968861794338777,0.7455325585976647,-0.002171888640926463,0.8917124542124543,0.9854694106763175,0.1
JPN,adaptive,fixed_load_mw,20,8736,0.6080136625693281,0.759261375590985,-0.002147322199879927,0.8929716117216118,1.0000596828557677,0.1
JPN,adaptive,fixed_load_mw,21,8736,0.6215281402919722,0.7745671375337543,-0.0021837625689056406,0.8929716117216118,0.9807754742218461,0.1
JPN,adaptive,fixed_load_mw,22,8736,0.630697452974371,0.7867849042208566,-0.002170624904196115,0.8913690476190477,0.9967600973355445,0.1
JPN,adaptive,fixed_load_mw,23,8736,0.6566074604587312,0.8146875357796065,-0.0023024853875628273,0.8902243589743589,1.0220303437079907,0.1
