country,mode,column,n_forecasts,mae,rmse,bias,coverage,mean_interval_width,adaptive_beta_floor
JPN,static,sst_c,209664,0.15127722082195133,0.2333875440219586,-0.012132506405208235,0.8148895375457875,0.12774311408817143,0.1
JPN,static,wind_mw,209664,3.3942340032541787,4.548953758306353,0.48476272361980055,0.9277987637362637,3.4095046404359888,0.1
JPN,static,carbon_kg_per_mwh,209664,25.00394554981793,38.83651878327352,-2.719528206732314,0.8942164606227107,33.805991564478724,0.1
JPN,adaptive,fixed_load_mw,209664,0.5018361562551709,0.6433250038193927,-0.0015462023150466973,0.8960336538461539,0.813079157176147,0.1
JPN,adaptive,flexible_arrival_mw,209664,0.21507263839501534,0.2757107159225432,-0.0006626581350941267,0.8960336538461539,0.34846249595343887,0.1
JPN,adaptive,sst_c,209664,0.18783914429733806,0.2945299255084774,-0.00029631530497804554,0.8932625534188035,0.30238093404845384,0.1
JPN,adaptive,wind_mw,209664,3.793735765430552,5.521443178180255,-0.00375545656393124,0.8929668421855922,3.308429017444818,0.1
JPN,adaptive,carbon_kg_per_mwh,209664,29.62883033109433,44.73119441991761,-0.04468982692709148,0.8940447573260073,43.923668528246445,0.1
AUS,nominal,fixed_load_mw,209664,0.48706390059673166,0.615603423956833,-0.0008308987149108306,,,0.1
AUS,nominal,flexible_arrival_mw,209664,0.20874167168431373,0.2638300388386425,-0.00035609944924741837,,,0.1
AUS,nominal,sst_c,209664,0.13862967576930668,0.2088131058875788,0.008106793023659084,,,0.1
AUS,nominal,wind_mw,209664,3.7645132072655216,4.7555583085714295,0.5516913098127076,,,0.1
AUS,nominal,carbon_kg_per_mwh,209664,54.903305404829524,70.61630742257778,-17.69922811107542,,,0.1
AUS,static,fixed_load_mw,209664,0.48705295526326253,0.6157103498985036,0.010782813207247312,0.8447516025641025,0.6327326022920892,0.1
AUS,static,flexible_arrival_mw,209664,0.20873698082716727,0.2638758642426675,0.004621205706714606,0.8447516025641025,0.2711711164409671,0.1
AUS,static,sst_c,209664,0.14071841598474238,0.21203032977560585,0.03386586192861269,0.9152071886446886,0.26713343037342746,0.1
AUS,static,wind_mw,209664,3.7822054553430973,4.7309010434739776,0.3196554445271923,0.8995488018925519,4.143861090096774,0.1
AUS,static,carbon_kg_per_mwh,209664,54.17841325517387,69.57679659432955,-13.345800148748523,0.9284855769230769,83.48389352546307,0.1
AUS,adaptive,fixed_load_mw,209664,0.5018284156121777,0.6433155504888683,-0.0015461272463135076,0.8960336538461539,0.8130700514908268,0.1
AUS,adaptive,flexible_arrival_mw,209664,0.2150693209766681,0.27570666449525416,-0.0006626259625812452,0.8960336538461539,0.3484585934829321,0.1
AUS,adaptive,sst_c,209664,0.1620568844099625,0.25086210497926914,-9.355652128500505e-05,0.8952466804029304,0.24837532136187612,0.1
AUS,adaptive,wind_mw,209664,3.8171432653250528,5.517799289567172,0.0029732769642025637,0.8938587454212454,4.029716292382928,0.1
AUS,adaptive,carbon_kg_per_mwh,209664,58.081186993152905,75.45989763574477,-0.12394024378917322,0.8960002670940171,91.83631137157958,0.1
NOR,nominal,fixed_load_mw,209664,0.48707373092688333,0.6156157771191997,-0.0008308306831467971,,,0.1
NOR,nominal,flexible_arrival_mw,209664,0.20874588468294997,0.26383533305108564,-0.0003560702927771168,,,0.1
