setting,scenario,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct
low_carbon,adverse_bias,recommended_exceedance_degc_h,lower,12,6.2965517348227236e-06,1.0082545450392406e-06,1.8894846035936535e-05,0.00048828125,,,
low_carbon,adverse_bias,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_carbon,adverse_bias,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
low_carbon,adverse_bias,p95_t_inlet_c,lower,12,0.15918562699362226,0.07808835843496376,0.2225760135086571,0.00048828125,,,
low_carbon,adverse_bias,p99_t_inlet_c,lower,12,0.08983859691137515,0.04532391179601084,0.12552395893584503,0.0009765625,,,
low_carbon,adverse_bias,max_t_inlet_c,lower,12,4.718008220253959e-06,1.7145040078769825e-07,1.625172113713565e-05,0.0009765625,,,
low_carbon,adverse_bias,min_allowable_headroom_c,higher,12,4.718008219069721e-06,1.7105402694284066e-07,1.62514544947238e-05,0.0009765625,,,
low_carbon,adverse_bias,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_carbon,adverse_bias,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
low_carbon,adverse_bias,temporal_rci_hi_pct,higher,12,7.495894938832256e-07,1.2040117590335817e-07,2.263053564396008e-06,0.00048828125,,,
low_carbon,none,common_cost,lower,12,0.1097903083312038,-0.3120006838555548,0.7538239056152788,0.423828125,0.056386786700181074,-0.28858036847816987,0.4791530398442812
low_carbon,none,e_grid_mwh,lower,12,1.0399910373776724,-0.6315312526943248,4.007113901328434,0.7333984375,0.16769313782641532,-0.1195488472431009,0.6219389261071836
low_carbon,none,co2_kg,lower,12,379.1390923535296,-1001.3018769525115,2444.0190866001453,0.9697265625,0.036578127862983464,-0.4855153580312117,0.7734230675646101
low_carbon,none,e_total_mwh,lower,12,0.33745556356118794,-6.071972541675563,9.816612894109994,0.33935546875,0.026468339051858372,-0.3551915145847632,0.6072588270541668
low_carbon,none,recommended_exceedance_degc_h,lower,12,1.6699176619283662e-07,1.7835335749024262e-08,3.3053126830366076e-07,0.123046875,,,
low_carbon,none,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_carbon,none,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
low_carbon,none,p95_t_inlet_c,lower,12,0.07416184512493877,0.036632132688594214,0.11016227504129272,0.0068359375,,,
low_carbon,none,p99_t_inlet_c,lower,12,0.06889578775781136,0.03843025136599633,0.0989946043920388,0.0048828125,,,
low_carbon,none,max_t_inlet_c,lower,12,1.6443121412616316e-07,1.4419333875063481e-08,3.115384030749624e-07,0.0771484375,,,
low_carbon,none,min_allowable_headroom_c,higher,12,1.6443121353404422e-07,1.283863563609581e-08,3.1144513856773394e-07,0.0771484375,,,
low_carbon,none,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_carbon,none,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
low_carbon,none,temporal_rci_hi_pct,higher,12,1.9879976775882824e-08,2.1075156434828086e-09,3.940115789191623e-08,0.123046875,,,
low_total,adverse_bias,common_cost,lower,12,-0.5423988191391859,-1.293528915303537,0.02673052255377155,0.01220703125,-0.3076786703767787,-0.6819243092331285,0.0035343835972142636
low_total,adverse_bias,e_grid_mwh,lower,12,-3.7765964129364775,-5.502882591930188,-2.1113423144276533,0.0009765625,-0.515339407226039,-0.8336626767158543,-0.2579608403501159
low_total,adverse_bias,co2_kg,lower,12,-830.0495028379428,-2253.0652208968772,141.02792583381452,0.0341796875,-0.4847185407307163,-0.8333157304810552,-0.18200336064990105
low_total,adverse_bias,e_total_mwh,lower,12,0.01678934941630435,-5.3027684186117465,7.483790482204658,0.33935546875,-0.029503895320489176,-0.3323383711424805,0.3834980596317617
low_total,adverse_bias,recommended_exceedance_degc_h,lower,12,3.190509968516627e-06,9.65757694741202e-07,8.556750820920554e-06,0.00048828125,,,
low_total,adverse_bias,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_total,adverse_bias,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
low_total,adverse_bias,p95_t_inlet_c,lower,12,0.16245773397587637,0.08524371619498529,0.2283628390467444,0.00048828125,,,
low_total,adverse_bias,p99_t_inlet_c,lower,12,0.09297648953625644,0.047323273183014436,0.13096670957555911,0.00048828125,,,
low_total,adverse_bias,max_t_inlet_c,lower,12,0.009155131650331327,2.3376442717844744e-07,0.036617384321631086,0.00048828125,,,
low_total,adverse_bias,min_allowable_headroom_c,higher,12,0.009155131650331697,2.3400294002310733e-07,0.03661737972159227,0.00048828125,,,
low_total,adverse_bias,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_total,adverse_bias,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
low_total,adverse_bias,temporal_rci_hi_pct,higher,12,3.798226112886975e-07,1.1570005871893348e-07,1.0159455559488603e-06,0.00048828125,,,
low_total,none,common_cost,lower,12,-0.13820274244527533,-0.6120566500589758,0.24007913176220086,0.38037109375,-0.07369941150088527,-0.3523826716435361,0.16987657483671909
low_total,none,e_grid_mwh,lower,12,0.03374003719573201,-0.7257356696581295,0.9359114935283581,0.791015625,0.034951457254610074,-0.08925979689785957,0.18443061626091448
low_total,none,co2_kg,lower,12,-370.3945084557378,-1326.8696608325072,116.16593545836427,0.30126953125,-0.18736684601352183,-0.5140551128623833,0.049642301909242174
low_total,none,e_total_mwh,lower,12,-1.1070105694658234,-7.965005410466683,7.121622133705598,0.26611328125,-0.05453663405679156,-0.44537318347650223,0.4637811740749783
low_total,none,recommended_exceedance_degc_h,lower,12,4.998486868856844e-08,-1.2675471080895543e-07,1.8962436006593938e-07,0.1015625,,,
low_total,none,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_total,none,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
low_total,none,p95_t_inlet_c,lower,12,0.08108412640892511,0.03444199486398018,0.1291576783124538,0.0048828125,,,
low_total,none,p99_t_inlet_c,lower,12,0.07651352123852966,0.03743668910410503,0.1218941590186408,0.01611328125,,,
low_total,none,max_t_inlet_c,lower,12,0.004082526097593704,-0.01941313599718503,0.035743060121131265,0.38037109375,,,
low_total,none,min_allowable_headroom_c,higher,12,0.004082526097593631,-0.019413135089380546,0.03574306012113363,0.38037109375,,,
low_total,none,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
low_total,none,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
low_total,none,temporal_rci_hi_pct,higher,12,5.9505775122185396e-09,-1.4875239973122235e-08,2.260448539459502e-08,0.1015625,,,
primary,adverse_bias,common_cost,lower,12,-0.6433321286772463,-1.5140914488427673,0.07443873056901579,0.09228515625,-0.3556885709414922,-0.7387470042544731,0.0490878421074875
primary,adverse_bias,e_grid_mwh,lower,12,-4.056452913390513,-6.77583238453382,-1.3561287235010202,0.00244140625,-0.5891962181940968,-1.1275113792481384,-0.11278051089944933
primary,adverse_bias,co2_kg,lower,12,-889.7062496642747,-2649.145071070389,276.1972630762299,0.33935546875,-0.7678980898193248,-1.4835704638281066,-0.12219231116208475
primary,adverse_bias,e_total_mwh,lower,12,-0.5728039738347283,-7.033433219448919,7.921729827105545,0.30126953125,-0.0676682642112659,-0.4428410214069382,0.40842906141417246
primary,adverse_bias,recommended_exceedance_degc_h,lower,12,1.0472951559011662e-05,1.0006260610836055e-06,3.6191804517424034e-05,0.00048828125,,,
primary,adverse_bias,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
primary,adverse_bias,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
primary,adverse_bias,p95_t_inlet_c,lower,12,0.1592872926459883,0.08390056251465279,0.2115701702453728,0.00048828125,,,
primary,adverse_bias,p99_t_inlet_c,lower,12,0.07032626962496528,0.0377943591209681,0.10066404438982939,0.0009765625,,,
primary,adverse_bias,max_t_inlet_c,lower,12,9.268518156524408e-06,1.693264157257938e-07,3.348462913425424e-05,0.00048828125,,,
primary,adverse_bias,min_allowable_headroom_c,higher,12,9.268518156450392e-06,1.6851421287267242e-07,3.44264869969931e-05,0.00048828125,,,
primary,adverse_bias,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
primary,adverse_bias,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
primary,adverse_bias,temporal_rci_hi_pct,higher,12,1.2467799486159947e-06,1.1834954231441468e-07,4.218021203072908e-06,0.00048828125,,,
primary,none,common_cost,lower,12,0.09448202461647763,-0.5126033096942706,0.88892196198891,0.6220703125,0.025893333271849544,-0.21770733059685304,0.3263539837862061
primary,none,e_grid_mwh,lower,12,0.30022201090386363,-0.6776029296965614,1.7748224973386186,0.9697265625,0.05031216313463909,-0.07647655949459299,0.2554212746197211
primary,none,co2_kg,lower,12,-475.52089164684116,-1308.930850233822,90.35988932617313,0.17626953125,-0.2437749218306484,-0.5691065980152386,0.034562831998930885
primary,none,e_total_mwh,lower,12,1.9621677742078798,-3.8157090288667947,10.87542337032228,0.4697265625,0.11993094337300876,-0.2322782233987831,0.6712773483253764
primary,none,recommended_exceedance_degc_h,lower,12,5.16854988437861e-08,-2.6785497912277617e-07,3.000935130614828e-07,0.46484375,,,
primary,none,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
primary,none,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
primary,none,p95_t_inlet_c,lower,12,0.09426882670202286,0.05873583166612247,0.13270081137120648,0.00244140625,,,
primary,none,p99_t_inlet_c,lower,12,0.07407416178648833,0.03720443629095501,0.11816238286195105,0.00341796875,,,
primary,none,max_t_inlet_c,lower,12,5.768932886951461e-08,-2.668155580624424e-07,3.0977622245131897e-07,0.5185546875,,,
primary,none,min_allowable_headroom_c,higher,12,5.7689329609663296e-08,-2.7353492944766816e-07,3.080162817470364e-07,0.5185546875,,,
primary,none,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
primary,none,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
primary,none,temporal_rci_hi_pct,higher,12,6.153032453918665e-09,-3.1510052404352485e-08,3.56138480483991e-08,0.46484375,,,
