panel,scenario,country,season,start_hour,metric,value,unit,eact_value,static_value
c,adverse_bias,NLD,Q4,6888,p95_reduction_c,0.0098560455109,degC,26.990143999,27.0000000445
c,adverse_bias,NOR,Q1,336,p95_reduction_c,4.23899599866e-08,degC,26.9999999862,27.0000000286
c,adverse_bias,NOR,Q2,2496,p95_reduction_c,0.160389786798,degC,26.8396102794,27.0000000662
c,adverse_bias,NOR,Q3,4680,p95_reduction_c,0.205428448297,degC,26.7945716352,27.0000000835
c,adverse_bias,NOR,Q4,6888,p95_reduction_c,5.36143573981e-08,degC,26.9999999797,27.0000000333
c,adverse_bias,PRT,Q1,336,p95_reduction_c,0.0400458605758,degC,26.9599542256,27.0000000862
c,adverse_bias,PRT,Q2,2496,p95_reduction_c,0.174526407753,degC,26.8254737086,27.0000001163
c,adverse_bias,PRT,Q3,4680,p95_reduction_c,0.331083423357,degC,26.6689166507,27.000000074
c,adverse_bias,PRT,Q4,6888,p95_reduction_c,0.205729293449,degC,26.7942708146,27.000000108
c,adverse_bias,SGP,Q1,336,p95_reduction_c,0.0899025419065,degC,26.9100975006,27.0000000425
c,adverse_bias,SGP,Q2,2496,p95_reduction_c,0.129228081867,degC,26.8707720615,27.0000001434
c,adverse_bias,SGP,Q3,4680,p95_reduction_c,0.187953056017,degC,26.8120469908,27.0000000468
c,adverse_bias,SGP,Q4,6888,p95_reduction_c,4.46598831871e-06,degC,26.9999955761,27.0000000421
c,adverse_bias,USA,Q1,336,p95_reduction_c,0.106634002472,degC,26.8933660551,27.0000000576
c,adverse_bias,USA,Q2,2496,p95_reduction_c,0.156258910301,degC,26.8437411954,27.0000001057
c,adverse_bias,USA,Q3,4680,p95_reduction_c,0.20694994955,degC,26.7930501775,27.0000001271
c,adverse_bias,USA,Q4,6888,p95_reduction_c,0.20573858773,degC,26.7942615262,27.0000001139
d,adverse_bias,AUS,Q1,336,total_energy_increase_pct,-0.0256931197617,%,1549.8886172,1550.28693428
d,adverse_bias,AUS,Q2,2496,total_energy_increase_pct,0.256822922985,%,1780.82988793,1776.26802447
d,adverse_bias,AUS,Q3,4680,total_energy_increase_pct,0.170594922996,%,1554.23855092,1551.5916144
d,adverse_bias,AUS,Q4,6888,total_energy_increase_pct,0.483203650311,%,1515.12696823,1507.84102536
