condition,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,worst_case_improvement,worst_20pct_mean_improvement,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct,worst_case_relative_improvement_pct,worst_20pct_mean_relative_improvement_pct
noise_s1.0,max_t_inlet_c,lower,12,2.1033875559813472e-07,-2.3789701704875674e-07,8.699436676658697e-07,-1.1419164955839278e-06,-4.799601758994262e-07,0.90966796875,,,,,
noise_s1.0,min_allowable_headroom_c,higher,12,2.1033875604222393e-07,-2.3664042399322107e-07,8.669286334213754e-07,-1.1419164946957494e-06,-4.799601732348909e-07,0.90966796875,,,,,
noise_s1.0,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
noise_s1.0,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
noise_s1.0,temporal_rci_hi_pct,higher,12,-1.2358457960696494e-09,-5.316658902761636e-08,3.4657735111428094e-08,-1.905092545939624e-07,-7.519585665249906e-08,0.90966796875,,,,,
none_s0.0,common_cost,lower,12,0.09448202461647763,-0.5126068150921658,0.8915819022971263,-1.2561633733481585,-0.683761657922067,0.6220703125,0.025893333271849544,-0.21720955572895273,0.324368711090388,-0.5666888892518082,-0.3072108559925551
none_s0.0,e_grid_mwh,lower,12,0.30022201090386363,-0.6678421460217892,1.7622866629598681,-1.5669966692146318,-1.4378436351884716,0.9697265625,0.05031216313463909,-0.07622877764373116,0.25144032784187553,-0.4359065059452572,-0.2328516530669764
none_s0.0,co2_kg,lower,12,-475.52089164684116,-1318.7109258396329,87.3758493599666,-3290.043377407128,-1952.7314476296694,0.17626953125,-0.2437749218306484,-0.576728632649667,0.02628529420058585,-1.3306555224357126,-0.9475684845652411
none_s0.0,e_total_mwh,lower,12,1.9621677742078798,-3.8860206253082956,11.202142713614347,-6.9012223010333855,-5.017539798948974,0.4697265625,0.11993094337300876,-0.23127305057263958,0.6891034575580006,-0.4107846611296288,-0.304763553748848
none_s0.0,recommended_exceedance_degc_h,lower,12,5.16854988437861e-08,-2.613438440472275e-07,3.040305890304275e-07,-7.148175349414032e-07,-4.209807092555214e-07,0.46484375,,,,,
none_s0.0,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,p95_t_inlet_c,lower,12,0.09426882670202286,0.05859488179296605,0.133112833397492,-0.018934545519851298,0.013366755580502598,0.00244140625,,,,,
none_s0.0,p99_t_inlet_c,lower,12,0.07407416178648833,0.03714512848119901,0.1194706619047218,-7.2623832885199135e-06,-2.41742589205766e-06,0.00341796875,,,,,
none_s0.0,max_t_inlet_c,lower,12,5.768932886951461e-08,-2.6623717259699474e-07,3.140165878286655e-07,-7.148175349414032e-07,-4.415131490039433e-07,0.5185546875,,,,,
none_s0.0,min_allowable_headroom_c,higher,12,5.7689329609663296e-08,-2.742385402746776e-07,3.127932037087315e-07,-7.148175349414032e-07,-4.415131501881812e-07,0.5185546875,,,,,
none_s0.0,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,temporal_rci_hi_pct,higher,12,6.153032453918665e-09,-3.1350693123025995e-08,3.561154307737032e-08,-8.509732651873492e-08,-5.011675341393129e-08,0.46484375,,,,,
