country,column,alpha,beta,n_origins,mae,rmse,model_path,residual_path
MYS,fixed_load_mw,100.0,0.0,8737,0.414234190849631,0.5233187505319911,results\causal_forecasts_v3_gated_bias\causal_ridge_MYS.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_MYS.npz
MYS,flexible_arrival_mw,100.0,0.0,8737,0.177528938937751,0.22427946451881348,results\causal_forecasts_v3_gated_bias\causal_ridge_MYS.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_MYS.npz
MYS,sst_c,100.0,0.01,8737,0.12416549841541587,0.17438767264385516,results\causal_forecasts_v3_gated_bias\causal_ridge_MYS.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_MYS.npz
MYS,wind_mw,100.0,0.0,8737,0.9233771347768471,1.411730480184974,results\causal_forecasts_v3_gated_bias\causal_ridge_MYS.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_MYS.npz
NLD,carbon_kg_per_mwh,0.01,0.01,8737,54.421251848070696,67.42170189276587,results\causal_forecasts_v3_gated_bias\causal_ridge_NLD.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NLD.npz
NLD,fixed_load_mw,0.01,0.0,8737,0.4146345925074959,0.5238111929019416,results\causal_forecasts_v3_gated_bias\causal_ridge_NLD.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NLD.npz
NLD,flexible_arrival_mw,0.01,0.0,8737,0.17770053966278762,0.2244905112614432,results\causal_forecasts_v3_gated_bias\causal_ridge_NLD.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NLD.npz
NLD,sst_c,0.01,0.0,8737,0.16257125054457885,0.2358444193991692,results\causal_forecasts_v3_gated_bias\causal_ridge_NLD.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NLD.npz
NLD,wind_mw,0.01,0.01,8737,4.393464594281515,5.158630889126059,results\causal_forecasts_v3_gated_bias\causal_ridge_NLD.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NLD.npz
NOR,carbon_kg_per_mwh,0.01,0.01,8737,1.975634869630604,3.4908163459114636,results\causal_forecasts_v3_gated_bias\causal_ridge_NOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NOR.npz
NOR,fixed_load_mw,0.01,0.0,8737,0.4146345925074959,0.5238111929019416,results\causal_forecasts_v3_gated_bias\causal_ridge_NOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NOR.npz
NOR,flexible_arrival_mw,0.01,0.0,8737,0.17770053966278762,0.2244905112614432,results\causal_forecasts_v3_gated_bias\causal_ridge_NOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NOR.npz
NOR,sst_c,0.01,0.0,8737,0.23009624709959137,0.3413477403852699,results\causal_forecasts_v3_gated_bias\causal_ridge_NOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NOR.npz
NOR,wind_mw,0.01,0.01,8737,1.8373100902214619,2.7376001704634083,results\causal_forecasts_v3_gated_bias\causal_ridge_NOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_NOR.npz
PRT,carbon_kg_per_mwh,0.01,0.01,8737,18.940698471393855,24.664137960603874,results\causal_forecasts_v3_gated_bias\causal_ridge_PRT.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_PRT.npz
PRT,fixed_load_mw,0.01,0.0,8737,0.4146345925074959,0.5238111929019416,results\causal_forecasts_v3_gated_bias\causal_ridge_PRT.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_PRT.npz
PRT,flexible_arrival_mw,0.01,0.0,8737,0.17770053966278762,0.2244905112614432,results\causal_forecasts_v3_gated_bias\causal_ridge_PRT.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_PRT.npz
PRT,sst_c,0.01,0.0,8737,0.23149256661274614,0.35900257368785093,results\causal_forecasts_v3_gated_bias\causal_ridge_PRT.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_PRT.npz
PRT,wind_mw,0.01,0.01,8737,3.89813042138,4.856509039397958,results\causal_forecasts_v3_gated_bias\causal_ridge_PRT.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_PRT.npz
SGP,carbon_kg_per_mwh,100.0,0.0,8737,4.053737614443176,6.126032513305689,results\causal_forecasts_v3_gated_bias\causal_ridge_SGP.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_SGP.npz
SGP,fixed_load_mw,100.0,0.0,8737,0.414234190849631,0.5233187505319911,results\causal_forecasts_v3_gated_bias\causal_ridge_SGP.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_SGP.npz
SGP,flexible_arrival_mw,100.0,0.0,8737,0.177528938937751,0.22427946451881348,results\causal_forecasts_v3_gated_bias\causal_ridge_SGP.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_SGP.npz
SGP,sst_c,100.0,0.01,8737,0.12416549841541587,0.17438767264385516,results\causal_forecasts_v3_gated_bias\causal_ridge_SGP.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_SGP.npz
SGP,wind_mw,100.0,0.0,8737,0.9233771347768471,1.411730480184974,results\causal_forecasts_v3_gated_bias\causal_ridge_SGP.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_SGP.npz
USA,carbon_kg_per_mwh,0.01,0.01,8737,24.95844142064862,31.7333947903654,results\causal_forecasts_v3_gated_bias\causal_ridge_USA.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_USA.npz
USA,fixed_load_mw,0.01,0.0,8737,0.4146345925074959,0.5238111929019416,results\causal_forecasts_v3_gated_bias\causal_ridge_USA.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_USA.npz
USA,flexible_arrival_mw,0.01,0.0,8737,0.17770053966278762,0.2244905112614432,results\causal_forecasts_v3_gated_bias\causal_ridge_USA.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_USA.npz
USA,sst_c,0.01,0.01,8737,0.20499878970277235,0.3020661072877217,results\causal_forecasts_v3_gated_bias\causal_ridge_USA.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_USA.npz
USA,wind_mw,0.01,0.01,8737,2.2044368780921504,3.3351905353800326,results\causal_forecasts_v3_gated_bias\causal_ridge_USA.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_USA.npz
